0; Battlefield 1; Electronic Arts; 49.99; 18; PC; FPS; 21-10-2016; Ervaar het begin van totale oorlog in Battlefield 1. Baan je een weg door epische gevechten, varierend van krappe belegerde Franse steden tot zwaar verdedigde bergforten in de Italiaanse Alpen, en aanschouw waanzinnige veldslagen in de woestijn van Arabie. Ontdek een nieuwe wereld in oorlog via een avontuurlijke campagne, of doe mee aan epische multiplayer gevechten met maximaal 64 spelers. Stem je tactiek af op de adembenemende omgevingen en totale verwoesting. Strijd als infanterie of bestuur ongelooflijke voertuigen te land, ter zee en in de lucht (varierend van tanks en motoren op de grond tot dubbeldekkers en gigantische oorlogsschepen), en stem je speelstijl af op de meest dynamische gevechten in de geschiedenis van Battlefield.; http://www.cdkeys.com/media/catalog/product/cache/1/image/650x/040ec09b1e35df139433887a97daa66f/b/a/battlefield_1_cover.jpg
1; Watch Dogs 2 - Deluxe Edition; Ubisoft; 59.99; 18; PS4; Third Person; 15-11-2016; Hacken is jouw wapen in de gigantische en dynamische open wereld van Watch Dogs 2. In 2016 werd ctOS 2.0, een geavanceerd besturingssysteem die de gehele infrastructuur van de stad beheert, geïmplementeerd in meerdere steden in Amerika om een veiligere en efficiëntere samenleving te creëren. Met de nodige kennis om te hacken, voer jij samen met DedSec de grootste hack van de eeuw uit. Haal ctOS 2.0 neer en geef het volk hun vrijheid terug.; https://upload.wikimedia.org/wikipedia/en/b/b0/Watch_Dogs_2.jpg
2; Watch Dogs 2 - Deluxe Edition; Ubisoft; 59.99; 18; Xbox One; Third Person; 15-11-2016; Hacken is jouw wapen in de gigantische en dynamische open wereld van Watch Dogs 2. In 2016 werd ctOS 2.0, een geavanceerd besturingssysteem die de gehele infrastructuur van de stad beheert, geïmplementeerd in meerdere steden in Amerika om een veiligere en efficiëntere samenleving te creëren. Met de nodige kennis om te hacken, voer jij samen met DedSec de grootste hack van de eeuw uit. Haal ctOS 2.0 neer en geef het volk hun vrijheid terug.; https://upload.wikimedia.org/wikipedia/en/b/b0/Watch_Dogs_2.jpg
3; Watch Dogs 2; Ubisoft; 59.99; 18; PS4; Third Person; 15-11-2016; Hacken is jouw wapen in de gigantische en dynamische open wereld van Watch Dogs 2. In 2016 werd ctOS 2.0, een geavanceerd besturingssysteem die de gehele infrastructuur van de stad beheert, geïmplementeerd in meerdere steden in Amerika om een veiligere en efficiëntere samenleving te creëren. Met de nodige kennis om te hacken, voer jij samen met DedSec de grootste hack van de eeuw uit. Haal ctOS 2.0 neer en geef het volk hun vrijheid terug.; https://upload.wikimedia.org/wikipedia/en/b/b0/Watch_Dogs_2.jpg
4; Watch Dogs 2; Ubisoft; 59.99; 18; Xbox One; Third Person; 15-11-2016; Hacken is jouw wapen in de gigantische en dynamische open wereld van Watch Dogs 2. In 2016 werd ctOS 2.0, een geavanceerd besturingssysteem die de gehele infrastructuur van de stad beheert, geïmplementeerd in meerdere steden in Amerika om een veiligere en efficiëntere samenleving te creëren. Met de nodige kennis om te hacken, voer jij samen met DedSec de grootste hack van de eeuw uit. Haal ctOS 2.0 neer en geef het volk hun vrijheid terug.; https://upload.wikimedia.org/wikipedia/en/b/b0/Watch_Dogs_2.jpg
5; Assassins Creed - The Ezio Collection; Ubisoft; 44.99; 18; PS4; Third Person; 17-11-2016; LEEF EZIO’S COMPLETE LEVENSVERHAAL. Speel als Ezio, de meest iconische Assassin van de Assassin’s Creed Franchise, tijdens zijn reis van jonge man tot de meest legendarische leider van het Assassin broederschap. De single-player campaigns en single-player uitbreidingen van de drie games zijn het speelveld van de zoektocht. GEMAAKT VOOR DE NIEUWE GENERATIE. Beleef deze drie klassiekers op 1080p en 30fps dankzij de next-gen hardware-mogelijkheden en rekenkracht, die het verhaal beter tot leven brengt als nooit tevoren.; https://ubistatic9-a.akamaihd.net/ubicomstatic/en-US/global/buy-now/AC-EzioCollection-buy-PS4-3D-product-page-297x420_264188.png
6; Assassins Creed - The Ezio Collection; Ubisoft; 44.99; 18; Xbox One; Third Person; 17-11-2016; LEEF EZIO’S COMPLETE LEVENSVERHAAL. Speel als Ezio, de meest iconische Assassin van de Assassin’s Creed Franchise, tijdens zijn reis van jonge man tot de meest legendarische leider van het Assassin broederschap. De single-player campaigns en single-player uitbreidingen van de drie games zijn het speelveld van de zoektocht. GEMAAKT VOOR DE NIEUWE GENERATIE. Beleef deze drie klassiekers op 1080p en 30fps dankzij de next-gen hardware-mogelijkheden en rekenkracht, die het verhaal beter tot leven brengt als nooit tevoren.; http://gameidealist.com/wp-content/uploads/Assassins-Creed-The-Ezio-Collection-Xbox-One.jpg
7; The ELder Scrolls V: Skyrim Special Editon; Bethesda; 44.99; 18; PS4; Third Person; 28-10-2016; De winnaar van meer dan 200 Game of the Year awards is terug! De Skyrim Special Edition brengt de epische fantasy game tot leven met verbluffende details. De Special Edition bevat de veelgeprezen game en alle uitbreidingen met compleet nieuwe features zoals remastered art en effecten, dynamische scherpte en diepte, screen-space reflecties en meer. Ook brengt de Skyrim Special Edition de volledige kracht van PC mods naar consoles. Nieuwe quests, omgevingen, personages, dialogen, uitrustingen, wapens en meer. Met de Mods zijn er geen grenzen aan je avontuur!; https://ic.tweakimg.net/ext/i/2001122071.jpeg
8; The ELder Scrolls V: Skyrim Special Editon; Bethesda; 39.99; 18; PC; Third Person; 28-10-2016; De winnaar van meer dan 200 Game of the Year awards is terug! De Skyrim Special Edition brengt de epische fantasy game tot leven met verbluffende details. De Special Edition bevat de veelgeprezen game en alle uitbreidingen met compleet nieuwe features zoals remastered art en effecten, dynamische scherpte en diepte, screen-space reflecties en meer. Ook brengt de Skyrim Special Edition de volledige kracht van PC mods naar consoles. Nieuwe quests, omgevingen, personages, dialogen, uitrustingen, wapens en meer. Met de Mods zijn er geen grenzen aan je avontuur!; https://s.s-bol.com/imgbase0/imagebase3/large/FC/2/2/6/5/9200000048075622.jpg
9; The ELder Scrolls V: Skyrim Special Editon; Bethesda; 44.99; 18; Xbox One; Third Person; 28-10-2016; De winnaar van meer dan 200 Game of the Year awards is terug! De Skyrim Special Edition brengt de epische fantasy game tot leven met verbluffende details. De Special Edition bevat de veelgeprezen game en alle uitbreidingen met compleet nieuwe features zoals remastered art en effecten, dynamische scherpte en diepte, screen-space reflecties en meer. Ook brengt de Skyrim Special Edition de volledige kracht van PC mods naar consoles. Nieuwe quests, omgevingen, personages, dialogen, uitrustingen, wapens en meer. Met de Mods zijn er geen grenzen aan je avontuur!; http://pics.redblue.de/doi/pixelboxx-mss-71115338/fee_786_587_png
10; Rise Of The Tomb Raider; Square Enix; 45.99; 18; PC; Survival; 28-01-2016; Lara Croft ontrafelt een eeuwenoud mysterie en gaat op zoek naar het geheim van de onsterfelijkheid op de meest afgelegen en verraderlijke plekken van de wereld. Lara moet in dit avontuur vertrouwen op haar intelligentie en survival-skills. Ze werkt samen met nieuwe bondgenoten om haar lotsbestemming als Tomb Raider te vervullen. Rise of the Tomb Raider is een intens, filmisch avontuur vol epische survival-actie op de mooiste, maar ook gevaarlijkste locaties op aarde. Ga mee met Lara Croft op haar eerste expeditie en zoek naar het geheim van de onsterfelijkheid. Beleef de opkomst van dit iconische personage.; https://n3.sdlcdn.com/imgs/b/s/v/Square-Enix-PC-Tomb-Raider-SDL006889932-1-d8261.jpg
